# Experiment 3: Population Dynamics and Price Equation
# K=20 G=50 N_RUNS=3
# n_dev_steps=20 lr_dev=0.005 sigma_mut=0.001
# N_INIT_STEPS=100 LR_INIT=0.008
# CHUNK_SIZE=30 CHUNK_OVERLAP=5
# PREFIX_LENGTHS=[3, 5, 8]
# tau=0.0027629846721001438
# block_size=32 n_embd=32 n_layer=2 n_head=4
# Price equation OLS: slope=1.9694 intercept=-3.0e-5 R^2=0.2166

run,gen,R_bar_before,w_bar,delta_sel,price_predicted,delta_sel_sd,delta_sel_lo95,delta_sel_hi95,delta_dev,delta_mut,mean_k,mean_s,risk_selected,risk_selected_expected,risk_after_dev,risk_after_mut
3,18,2.711729,0.06643326,-0.00048077,-0.00034372,0.00414951,-0.00847676,0.00778932,-0.00509349,1.637e-5,2.95,7.45,2.711248,2.711385,2.706155,2.706171
3,19,2.706171,0.06680741,0.00705757,-0.00045802,0.00475663,-0.009781,0.00886497,-0.01184508,2.357e-5,3.1,7.6,2.713229,2.705713,2.701384,2.701407
3,20,2.701407,0.06711602,0.00211587,-0.00014954,0.00273092,-0.00550214,0.00520306,0.00153215,4.054e-5,3.1,7.6,2.703523,2.701258,2.705055,2.705096
3,21,2.705096,0.0668708,-0.00174442,-0.00020529,0.00319061,-0.00645889,0.00604831,-0.00268916,-3.97e-6,2.85,7.25,2.703351,2.704891,2.700662,2.700658
3,22,2.700658,0.06717129,-0.00489742,-0.00029706,0.0038379,-0.00781934,0.00722523,0.01070222,-1.04e-6,3.25,7.6,2.695761,2.700361,2.706463,2.706462
3,23,2.706462,0.0667975,0.00355914,-0.00073762,0.00598416,-0.01246658,0.01099133,-0.01264602,8.574e-5,2.95,7.35,2.710021,2.705724,2.697375,2.697461
3,24,2.697461,0.06739119,-0.00533001,-0.00043743,0.00463633,-0.00952464,0.00864978,0.00406293,-6.591e-5,3.05,7.55,2.692131,2.697023,2.696194,2.696128
3,25,2.696128,0.06748266,0.00839755,-0.00048439,0.00488782,-0.01006451,0.00909573,-0.0095231,1.378e-5,3.25,7.7,2.704525,2.695644,2.695002,2.695016
3,26,2.695016,0.06756158,-0.0052064,-0.00059703,0.00541295,-0.01120641,0.01001234,0.00963188,4.705e-5,3.35,7.85,2.68981,2.694419,2.699442,2.699489
3,27,2.699489,0.06724911,-0.00392972,-0.00027371,0.0036839,-0.00749415,0.00694673,-0.00579442,0.00010214,3.25,7.8,2.695559,2.699215,2.689765,2.689867
3,28,2.689867,0.06790185,0.00255901,-0.00034903,0.0041694,-0.00852105,0.007823,0.00134871,0.00022536,3.0,7.35,2.692426,2.689518,2.693774,2.694
3,29,2.694,0.06762765,-0.00901286,-0.00052123,0.00508181,-0.01048157,0.00943911,0.01151527,0.00010897,3.3,7.8,2.684987,2.693479,2.696502,2.696611
3,30,2.696611,0.06745061,0.00352324,-0.00050074,0.0049703,-0.01024253,0.00924105,-0.00086323,0.00010603,3.35,8.1,2.700134,2.69611,2.699271,2.699377
3,31,2.699377,0.06726387,-0.00536419,-0.00048845,0.00491314,-0.01011821,0.0091413,0.00113258,0.00028378,3.4,7.9,2.694013,2.698889,2.695146,2.695429
3,32,2.695429,0.06753311,-0.0062226,-0.00058129,0.00534961,-0.01106654,0.00990395,0.00782073,-2.447e-5,3.1,7.55,2.689207,2.694848,2.697027,2.697003
3,33,2.697003,0.06742446,0.00496753,-0.00050941,0.00501978,-0.01034817,0.00932935,-0.01123537,4.12e-5,3.2,7.7,2.701971,2.696494,2.690735,2.690776
3,34,2.690776,0.06784495,-0.00113642,-0.00049085,0.0049367,-0.01016677,0.00918508,0.00534539,6.543e-5,3.1,7.4,2.68964,2.690286,2.694985,2.695051
3,35,2.695051,0.06756013,-0.00023026,-0.00062659,0.00559177,-0.01158645,0.01033327,-0.0002537,3.088e-5,3.0,7.2,2.694821,2.694424,2.694567,2.694598
3,36,2.694598,0.067588,-0.01048416,-0.00054434,0.00519445,-0.01072545,0.00963678,0.01340113,0.00036368,3.05,7.4,2.684114,2.694053,2.697515,2.697878
3,37,2.697878,0.06738112,-0.00298481,-0.00097132,0.00691884,-0.01453226,0.01258961,-0.00408954,0.00013666,3.05,7.25,2.694894,2.696907,2.690804,2.690941
3,38,2.690941,0.06783521,-0.00042027,-0.00053062,0.00510872,-0.01054371,0.00948247,-0.00012105,0.00014396,3.05,7.4,2.69052,2.69041,2.690399,2.690543
3,39,2.690543,0.06786765,0.00327539,-0.00069249,0.0058527,-0.01216378,0.0107788,-0.00497097,8.169e-5,3.15,7.55,2.693819,2.689851,2.688848,2.688929
3,40,2.688929,0.06797108,-0.00041978,-0.00051101,0.00502516,-0.01036033,0.0093383,0.00427704,0.00020353,3.25,7.55,2.68851,2.688418,2.692787,2.69299
3,41,2.69299,0.06770245,0.0003101,-0.00071089,0.00591611,-0.01230647,0.01088469,0.00719509,-6.873e-5,3.0,7.15,2.6933,2.692279,2.700495,2.700427
